X,Y,Z,row_id,nearest_gt_idx,nearest_dist,gt_X,gt_Y,gt_Z
6049665.901488679,2135563.6331784856,90.82917144910658,73,178,79.34126504821151,6049740.3096,2135591.1735,82.1495
6049683.615422016,2135584.290746283,88.10133061996002,74,178,57.11043789048756,6049740.3096,2135591.1735,82.1495
6049708.982662994,2135473.793760309,81.3405748247595,75,181,54.14537038994841,6049762.9202,2135478.5333,80.9995
6049720.435442344,2135392.655591057,88.05950802951982,76,189,23.57559036547275,6049744.0073,2135393.0751,80.8449
6049664.087697304,2135411.8330619093,85.32800653709559,77,182,42.78868151320565,6049706.4824,2135417.6262,79.3368
6049687.418741574,2135611.019629376,92.98689805559668,78,177,42.89155976912255,6049725.7614,2135630.2427,82.1658
6049869.571015666,2135589.308622568,90.92864268519446,79,180,40.388914755692845,6049831.8159,2135603.6549,83.3368
6049698.988222146,2135673.3817276303,91.4992979802054,80,177,50.77183035198448,6049725.7614,2135630.2427,82.1658
6049951.800646029,2135555.512209378,89.19770444599621,81,119,45.13018793152338,6049987.1063,2135583.6235,83.8092
6049800.308559875,2135495.5680836192,84.85587150866358,82,181,41.08616929254261,6049762.9202,2135478.5333,80.9995
6049795.809660658,2135499.432891352,89.0930307447574,83,181,38.968057959197324,6049762.9202,2135478.5333,80.9995
6049872.965479464,2135458.338891754,91.64495405644875,84,120,60.72727699509831,6049933.6509,2135460.5932,81.7524
6049797.016610722,2135520.700687051,90.87107196077224,85,181,54.22779503970162,6049762.9202,2135478.5333,80.9995
6049767.349182837,2135495.996347073,88.76771247287874,86,181,18.01593467053945,6049762.9202,2135478.5333,80.9995
6049871.511214704,2135442.231928814,90.53211827008204,87,120,64.79565392975863,6049933.6509,2135460.5932,81.7524
6049809.506232414,2135438.7369938684,91.89660245542038,88,181,61.269930617378165,6049762.9202,2135478.5333,80.9995
6049730.841393266,2135370.57854623,86.34967572305158,89,188,20.413704909620932,6049751.1731,2135372.4064,80.8675
6049846.847056535,2135729.761673358,84.91641719319074,90,175,82.05702463962776,6049856.6358,2135648.2906,83.8446
6049787.400841557,2135651.100526516,92.59739695773422,91,176,47.10844535287094,6049744.3219,2135632.0372,82.3032
6050011.074637087,2135534.6149503286,87.79913486229636,92,119,54.55565161951447,6049987.1063,2135583.6235,83.8092
6050027.605521098,2135520.5877246205,85.57260244086223,93,119,74.9246013485829,6049987.1063,2135583.6235,83.8092
6049925.704108141,2135503.1418963056,91.7673253520924,94,120,43.28444360445615,6049933.6509,2135460.5932,81.7524
6049966.382073628,2135537.754573289,85.70951131499602,95,119,50.333408352554585,6049987.1063,2135583.6235,83.8092
6049951.124504264,2135535.8503808663,92.70941498415502,96,119,59.80769629524354,6049987.1063,2135583.6235,83.8092
6049954.447899606,2135626.216671553,95.71035177516484,97,118,14.293867657875618,6049946.3582,2135614.4323,85.5925
6050020.837142909,2135816.180337924,99.12149777346823,98,168,29.912489764797314,6050031.9181,2135788.396,89.0559
6050151.457641497,2135734.409719496,97.376098982786,99,167,118.41760911231937,6050079.9606,2135828.8073,90.1955
6050056.234621668,2135846.243039651,98.24707814684436,100,166,18.34616316729841,6050074.5463,2135845.1187,90.1239
6050042.707574963,2135647.418830377,89.99524223592557,101,119,84.6247360725487,6049987.1063,2135583.6235,83.8092
6050078.995701853,2135837.214242979,97.08108517370442,102,167,8.462134404810998,6050079.9606,2135828.8073,90.1955
6050067.847744489,2135802.578521642,96.51799955573168,103,167,28.890657361552673,6050079.9606,2135828.8073,90.1955
6050172.367632785,2135800.6009905115,94.15804401937218,104,167,96.61602146171562,6050079.9606,2135828.8073,90.1955
6050210.664475533,2135839.4889134467,95.38064329947106,105,146,92.93122403022332,6050132.3065,2135889.4513,91.0658
6050277.093859722,2135920.916036957,98.12170165132018,106,151,27.349719491577435,6050304.3993,2135922.4717,92.2463
6050251.730736847,2136263.758590259,106.35039973335714,107,154,51.46941137515876,6050245.0791,2136212.7208,95.8842
6050216.258582141,2136127.4678241024,104.02972939335493,108,153,32.281993534119415,6050224.8149,2136096.3404,94.2448
6050229.491031194,2136145.886589749,104.02793622522402,109,153,49.766365364171286,6050224.8149,2136096.3404,94.2448
6050229.488296466,2136148.6632625097,104.16876575026676,110,153,52.531158141941944,6050224.8149,2136096.3404,94.2448
6050230.72458499,2136172.0586403,104.61754220759016,111,154,43.12149501842021,6050245.0791,2136212.7208,95.8842
6050211.634770898,2136119.967073594,104.26997786935628,112,153,27.05430664894516,6050224.8149,2136096.3404,94.2448
6050280.425247222,2136321.651244744,107.00284735161594,113,131,18.78052336966203,6050294.3375,2136334.267,97.5692
6050254.529697993,2136295.493398064,111.5324894862824,114,131,55.57025560293979,6050294.3375,2136334.267,97.5692
6050234.984431965,2136307.970138564,103.92949839549352,115,131,64.91772952417834,6050294.3375,2136334.267,97.5692
6050297.297031368,2136385.385141743,108.90283960191852,116,142,35.307347271159415,6050322.6777,2136409.9296,99.2861
6050300.516799365,2136391.695106048,108.73280563027495,117,142,28.698471851635304,6050322.6777,2136409.9296,99.2861
6050294.158507229,2136378.88857884,108.53921503978424,118,142,42.15316537294493,6050322.6777,2136409.9296,99.2861
6050304.740145882,2136400.153571,108.73488230104256,119,142,20.428572900576942,6050322.6777,2136409.9296,99.2861
6050302.545615683,2136395.802124075,108.97179078238962,120,142,24.594438292735305,6050322.6777,2136409.9296,99.2861
6050273.280541553,2136336.8498858125,108.17980948644896,121,131,21.214777825091055,6050294.3375,2136334.267,97.5692
6050271.226867116,2136338.5505764727,108.51209631058497,122,131,23.504263011436493,6050294.3375,2136334.267,97.5692
6050288.329182217,2136384.048683048,108.2040142703772,123,142,43.00747070159305,6050322.6777,2136409.9296,99.2861
