X,Y,Z,cluster_size,eps_used
6050409.4627,2137738.376,109.1405,1,1.0
6050410.4329,2137724.8252,109.0687,1,1.0
6050408.7662,2137719.3008,108.8729,1,1.0
6050334.5226,2137722.3715,107.3528,1,1.0
6050332.3429,2137681.2955,107.3843,1,1.0
6050360.545,2137685.6587,108.0894,1,1.0
6050377.954,2137646.2213,108.3787,1,1.0
6050381.2623,2137594.3437,109.756,1,1.0
6050384.0348,2137552.0269,107.331,1,1.0
6050409.3607,2137160.1745,104.5409,1,1.0
6050407.3784,2137088.7698,103.9001,1,1.0
6050338.7008,2137055.674,102.7954,1,1.0
6050317.5923,2137052.9541,102.2952,1,1.0
6050290.4562,2137049.5799,101.7502,1,1.0
6050317.2575,2137012.6263,102.1509,1,1.0
6050317.6267,2136889.3699,101.2873,1,1.0
6050343.2796,2136969.2565,102.2974,1,1.0
6050438.5881,2137014.5551,105.2463,1,1.0
6050434.0472,2136987.9107,105.039,1,1.0
6050518.614,2137170.7338,107.2953,1,1.0
6050563.1863,2137087.0403,106.3766,1,1.0
6050652.2561,2137099.4089,107.6462,1,1.0
6050515.1833,2137039.381,105.9476,1,1.0
6050484.3842,2136885.9803,104.0328,1,1.0
6050476.5517,2136975.514,105.4644,1,1.0
6051116.3047,2138859.7517,126.6776,1,1.0
6050884.5881,2138528.8938,120.5,1,1.0
6050400.1459,2137320.6975,106.0606,1,1.0
6050277.2695,2137006.5977,101.4096,1,1.0
6050467.1963,2136831.9044,103.4887,1,1.0
6050519.2796,2136679.4983,102.183,1,1.0
6050052.1682,2136301.3563,93.0568,1,1.0
6050340.4167,2135984.0197,93.2758,1,1.0
6049938.9526,2135761.0667,86.1018,1,1.0
6049871.0935,2135636.0725,87.0484,1,1.0
6049927.3914,2135632.8381,86.0643,1,1.0
6049918.5045,2135617.6692,85.8351,1,1.0
6049946.3582,2135614.4323,85.5925,1,1.0
6049987.1063,2135583.6235,83.8092,1,1.0
6049933.6509,2135460.5932,81.7524,1,1.0
6050440.2417,2136708.9096,101.9707,1,1.0
6050441.1187,2136751.2276,102.4935,1,1.0
6050200.2779,2136703.6339,98.0211,1,1.0
6050228.5332,2136666.4957,98.3495,1,1.0
6050210.1247,2136664.4971,97.9819,1,1.0
6050186.8441,2136661.0866,97.4306,1,1.0
6050267.9507,2136740.3311,99.7186,1,1.0
6050300.2407,2136836.2953,100.4456,1,1.0
6050090.8742,2136353.4522,93.9766,1,1.0
6050111.6755,2136310.2785,94.2581,1,1.0
6050294.3375,2136334.267,97.5692,1,1.0
6050308.4878,2136321.84,96.848,1,1.0
6050328.3969,2136332.0793,97.3922,1,1.0
6050380.0415,2136299.4383,97.9919,1,1.0
6050376.4211,2136325.5208,98.0681,1,1.0
6050308.2382,2136261.7136,96.0086,1,1.0
6050382.1563,2136228.9686,97.2302,1,1.0
6050392.8563,2136348.9698,98.1556,1,1.0
6050424.7449,2136353.8456,98.5811,1,1.0
6050425.6264,2136405.6233,98.8549,1,1.0
6050398.8007,2136402.0916,98.5127,1,1.0
6050322.6777,2136409.9296,99.2861,1,1.0
6050365.6454,2136518.6091,99.4659,1,1.0
6050472.06,2136713.3314,102.4374,1,1.0
6050457.4911,2136801.0829,103.3072,1,1.0
6050132.3065,2135889.4513,91.0658,1,1.0
6050359.1773,2136049.8204,94.1111,1,1.0
6050412.3972,2136092.6341,95.3852,1,1.0
6050371.0908,2136201.025,96.4525,1,1.0
6050320.2834,2136168.5563,95.1296,1,1.0
6050304.3993,2135922.4717,92.2463,1,1.0
6050304.2502,2135978.6269,93.1695,1,1.0
6050224.8149,2136096.3404,94.2448,1,1.0
6050245.0791,2136212.7208,95.8842,1,1.0
6050094.535,2136203.4001,93.1269,1,1.0
6050042.1809,2136039.6552,90.9651,1,1.0
6050053.9675,2136021.8737,91.1709,1,1.0
6049997.8306,2136001.8012,89.424,1,1.0
6049946.1951,2135994.3479,88.3793,1,1.0
6049934.3777,2135952.2426,87.8221,1,1.0
6049977.472,2135958.7925,88.654,1,1.0
6050004.7902,2135963.147,89.1705,1,1.0
6050073.4476,2135887.3528,90.5437,1,1.0
6050095.4119,2135951.3965,91.8081,1,1.0
6050113.7671,2136070.6129,93.0121,1,1.0
6050074.5463,2135845.1187,90.1239,1,1.0
6050079.9606,2135828.8073,90.1955,1,1.0
6050031.9181,2135788.396,89.0559,1,1.0
6050363.1956,2135723.2103,89.6941,1,1.0
6050342.2068,2135744.6415,89.5798,1,1.0
6050306.4072,2135663.3711,87.8819,1,1.0
6050397.6107,2135728.2947,90.555,1,1.0
6049939.3728,2135728.5561,86.4275,1,1.0
6049948.01,2135743.0527,86.7726,1,1.0
6049856.6358,2135648.2906,83.8446,1,1.0
6049744.3219,2135632.0372,82.3032,1,1.0
6049725.7614,2135630.2427,82.1658,1,1.0
6049740.3096,2135591.1735,82.1495,1,1.0
6049811.8539,2135601.0711,85.3442,1,1.0
6049831.8159,2135603.6549,83.3368,1,1.0
6049762.9202,2135478.5333,80.9995,1,1.0
6049706.4824,2135417.6262,79.3368,1,1.0
6049663.3083,2135348.7794,77.2141,1,1.0
6049536.3452,2135227.615,74.4115,1,1.0
6049536.2556,2135201.2001,74.5387,1,1.0
6049675.6646,2135258.2567,78.6598,1,1.0
6049764.4088,2135367.1694,80.8854,1,1.0
6049751.1731,2135372.4064,80.8675,1,1.0
6049744.0073,2135393.0751,80.8449,1,1.0
