feature_id,class_name,x,y,z,views,intersections,mean_res_ft,mean_pair_angle_deg,triangulation_score,conf_mean,touch_count
130,manhole,6050408.325824392,2137120.5865895227,104.07636431338926,5,7,0.066,34.79,0.98,0.61,5
131,manhole,6050400.37236995,2137068.5402225945,103.6378900113109,7,18,0.131,87.11,0.96,0.584,7
132,manhole,6050405.010167524,2137082.512554395,103.99700609148859,8,27,0.305,25.1,0.9,0.663,6
133,manhole,6050349.57362502,2136877.00183659,102.25025224185805,8,58,0.104,85.7,0.97,0.698,8
134,manhole,6050393.4945754325,2136864.18448521,103.21119121936223,8,45,0.291,87.24,0.91,0.608,5
135,manhole,6050312.952500547,2136763.435597965,100.93136626576995,8,70,0.116,84.44,0.96,0.716,8
136,manhole,6050237.387061525,2136528.8461992145,98.21854595097533,4,3,0.07,45.0,0.98,0.777,4
137,manhole,6050202.540592912,2136421.1253873846,97.20771366853927,8,80,0.112,46.54,0.96,0.684,8
138,manhole,6050176.794307589,2136373.1525340057,96.38090618847407,4,4,0.048,17.66,0.97,0.542,4
139,manhole,6050113.852096694,2135991.525475806,91.92152101669384,4,5,0.092,67.83,0.97,0.797,4
140,manhole,6050121.7214838,2135838.9240421318,88.760491027121,5,8,0.262,42.82,0.92,0.664,4
141,manhole,6049942.346300847,2135733.190110581,86.3315296235217,8,216,0.115,54.81,0.96,0.677,8
142,manhole,6049924.902368907,2135633.080392688,85.74009671199454,8,45,0.092,46.53,0.97,0.685,8
143,manhole,6049792.377939248,2135475.7115273196,82.07924488569927,4,3,0.123,72.06,0.96,0.548,4
144,manhole,6049736.562112755,2135408.6005080594,80.08858769891627,4,5,0.09,80.69,0.97,0.775,4
145,manhole,6049616.493131781,2135295.332312487,76.23002527303885,4,6,0.075,34.5,0.98,0.664,4
146,manhole,6049590.1040662965,2135255.8835508307,76.11069410832044,7,20,0.228,63.38,0.93,0.665,5
147,manhole,6049546.673393736,2135213.3973693233,74.46065470337363,5,9,0.158,55.0,0.95,0.66,5
148,manhole,6049945.946830716,2135517.799003187,82.73441032560332,8,74,0.178,58.17,0.94,0.705,7
149,manhole,6049938.291835785,2135531.8585419836,83.35061316846242,8,34,0.171,69.24,0.95,0.691,7
150,manhole,6050130.3171918765,2135837.9548224006,88.95206189408647,8,31,0.247,87.04,0.92,0.645,7
151,manhole,6050385.898626758,2136842.611063684,103.02871072724483,4,4,0.118,30.16,0.96,0.598,4
152,manhole,6050456.0716414265,2137113.642765825,105.63253631748096,6,8,0.085,29.87,0.97,0.593,6
153,manhole,6050453.821087919,2137112.586143369,104.56685911919813,5,4,0.302,26.4,0.91,0.599,4
154,manhole,6050519.412444324,2137274.2935842,108.22318326682988,8,21,0.158,66.3,0.95,0.741,7
155,manhole,6050979.668001449,2138426.2926174784,119.81954776449312,5,5,0.081,27.29,0.97,0.604,5
156,manhole,6050980.331721117,2138596.8349852143,123.24068579740187,8,81,0.186,74.62,0.94,0.654,8
157,manhole,6051062.749171643,2138691.1674215742,123.91947425983811,8,22,0.155,47.66,0.95,0.677,8
158,manhole,6051043.7765415525,2138685.772210584,123.29595907491364,5,8,0.044,26.74,0.98,0.78,5
159,manhole,6051075.974504705,2138693.4857426886,124.00419382103357,4,4,0.073,14.49,0.95,0.623,4
160,manhole,6051088.049636908,2138763.135098834,125.38072591371201,4,4,0.131,20.01,0.95,0.648,4
161,manhole,6051112.841126715,2138841.0040785912,125.93166952769545,8,24,0.188,47.77,0.94,0.638,7
162,manhole,6051109.849172916,2138820.6273694276,125.50933251159398,5,9,0.111,37.21,0.96,0.598,5
163,manhole,6051125.864944335,2138845.0517248246,126.39993023612224,4,6,0.127,43.96,0.96,0.621,4
